LLLLLLLLL	0.936211402574775
UUUUUUUUU	0.03325912302778047
ULLLLLLLL	0.020017423289129803
ULLLLULLL	0.0010841157680766625
ULLLULLLL	0.000987319717355532
ULLLLLULL	0.0007162907753363663
ULLULLLLL	0.0005807763043267835
LLLLLLLLU	0.000503339463749879
UUULLLLLL	0.0004839802536056529
ULULULULU	0.00044526183331720064
UULLLLLLL	0.00040654341302874845
ULLLLLLLU	0.0003678249927402962
LLLLLLLUU	0.00030974736230761785
UUUUULLLL	0.0002710289420191656
ULULLLLLL	0.0002516697318749395
LUUUUUUUU	0.00023231052173071338
UUUULLLLL	0.00023231052173071338
LLLULLLLL	0.00019359210144226117
LLLLLUUUU	0.00019359210144226117
LLLLLLUUU	0.00019359210144226117
LLLLULLLL	0.00015487368115380893
ULLLLLLUU	0.00015487368115380893
LULLLLLLL	0.00015487368115380893
LLULLLLLL	0.0001355144710095828
LLLLLLLUL	0.00011615526086535669
ULLULLULL	9.679605072113058e-05
LLLLUUUUU	9.679605072113058e-05
LLLLLULLL	9.679605072113058e-05
UULLLULLL	9.679605072113058e-05
ULLLLUUUU	7.743684057690446e-05
UUUUUULLL	7.743684057690446e-05
UULLLLLLU	7.743684057690446e-05
LLLUUULLL	7.743684057690446e-05
UUULLLUUU	5.8077630432678344e-05
LLLLLLULL	5.8077630432678344e-05
ULLLLLLUL	5.8077630432678344e-05
LULULULUL	5.8077630432678344e-05
LULLLULLL	5.8077630432678344e-05
ULLLUULLL	5.8077630432678344e-05
LLLUUUUUU	3.871842028845223e-05
UUUUUUUUL	3.871842028845223e-05
ULLUULLLL	3.871842028845223e-05
UULLLLLUU	3.871842028845223e-05
UULLLLUUU	3.871842028845223e-05
ULLULLLLU	3.871842028845223e-05
ULLULULLL	3.871842028845223e-05
ULUULLUUL	3.871842028845223e-05
LLUUULLLL	3.871842028845223e-05
ULULLLULL	3.871842028845223e-05
ULLULLULU	1.9359210144226116e-05
ULLULLUUL	1.9359210144226116e-05
UULLUULUL	1.9359210144226116e-05
ULULLULLL	1.9359210144226116e-05
UULULLLLL	1.9359210144226116e-05
LUUUUULLL	1.9359210144226116e-05
ULUUULLLU	1.9359210144226116e-05
ULLLUULUU	1.9359210144226116e-05
LLULLLULL	1.9359210144226116e-05
LLLLLLULU	1.9359210144226116e-05
LLUULLLLL	1.9359210144226116e-05
UULLLULUL	1.9359210144226116e-05
ULLLULULL	1.9359210144226116e-05
ULULULLLL	1.9359210144226116e-05
ULLULLUUU	1.9359210144226116e-05
UUULLLULL	1.9359210144226116e-05
ULLULULLU	1.9359210144226116e-05
UUUULUUUL	1.9359210144226116e-05
LLLUULLUL	1.9359210144226116e-05
UUUUUUULL	1.9359210144226116e-05
ULLLLLUUL	1.9359210144226116e-05
ULUULULUL	1.9359210144226116e-05
LLUULLLUU	1.9359210144226116e-05
ULUULUULU	1.9359210144226116e-05
LUULLLLUL	1.9359210144226116e-05
LUUUULUUU	1.9359210144226116e-05
ULLLUUULL	1.9359210144226116e-05
LLLULLLLU	1.9359210144226116e-05
UULLLULLU	1.9359210144226116e-05
UULLUUUUU	1.9359210144226116e-05
ULLULLLUL	1.9359210144226116e-05
UUULLUUUU	1.9359210144226116e-05
ULUULLLLU	1.9359210144226116e-05
LUUULLLLL	1.9359210144226116e-05
LLLUUUULU	1.9359210144226116e-05
UUUULLUUL	1.9359210144226116e-05
ULLUULLUU	1.9359210144226116e-05
UULLLLULL	1.9359210144226116e-05
LULUULLLL	1.9359210144226116e-05
LLLLUULUL	1.9359210144226116e-05
UULLLUULL	1.9359210144226116e-05
LLLUULLLL	1.9359210144226116e-05
ULLLULLLU	1.9359210144226116e-05
ULULLLLUL	1.9359210144226116e-05
LLUUUUUUU	1.9359210144226116e-05
ULLLUUUUU	1.9359210144226116e-05
ULULULULL	1.9359210144226116e-05
